time,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,XOM
2004-02-24,,,,,,,,21.20909652
2004-02-25,,,,,,,,21.37952623
2004-02-26,,,,,,,,21.20909652
2004-02-27,,,,,,,,21.13891752
2004-03-01,,,,,,,,21.31436502
2004-03-02,,,,,,,,21.0737463
2004-03-03,,,,,,,,21.0035673
2004-03-04,,,,,,,,20.92838052
2004-03-05,,,,,,,,21.29933168
2004-03-08,,,,,,,,21.33441617
2004-03-09,,,,,,,,21.44469745
2004-03-10,,,,,,,,21.26924494
2004-03-11,,,,,,,,20.7278741
2004-03-12,,,,,,,,21.06873852
2004-03-15,,,,,,,,20.94341888
2004-03-16,,,,,,,,21.08879468
2004-03-17,,,,,,,,21.17401204
2004-03-18,,,,,,,,21.28429332
2004-03-19,,,,,,,,20.80306088
2004-03-22,,,,,,,,20.52234488
2004-03-23,,,,,,,,20.43210972
2004-03-24,,,,,,,,20.10127589
2004-03-25,,,,,,,,20.17646266
2004-03-26,,,,,,,,20.42209417
2004-03-29,,,,,,,,20.59753666
2004-03-30,,,,,,,,20.82812481
2004-03-31,,,,,,,,20.84817595
2004-04-01,,,,,,,,20.81308645
2004-04-02,,,,,,,,21.00858509
2004-04-05,,,,,,,,21.17901981
2004-04-06,,,,,,,,21.14894309
2004-04-07,,,,,,,,21.0035673
2004-04-08,,,,,,,,21.27927552
2004-04-12,,,,,,,,21.61011938
2004-04-13,,,,,,,,21.46475361
2004-04-14,,,,,,,,21.70536231
2004-04-15,,,,,,,,21.89584316
2004-04-16,,,,,,,,21.98607832
2004-04-19,,,,,,,,21.9209121
2004-04-20,,,,,,,,21.41963353
2004-04-21,,,,,,,,21.52991481
2004-04-22,,,,,,,,21.70536231
2004-04-23,,,,,,,,21.53994038
2004-04-26,,,,,,,,21.55998651
2004-04-27,,,,,,,,21.93093767
2004-04-28,,,,,,,,21.61513217
2004-04-29,,,,,,,,21.32438558
2004-04-30,,,,,,,,21.32940338
2004-05-03,,,,,,,,21.89584316
2004-05-04,,,,,,,,21.8156436
2004-05-05,,,,,,,,22.05124954
2004-05-06,,,,,,,,21.97103996
2004-05-07,,,,,,,,21.68029838
2004-05-10,,,,,,,,21.07876409
2004-05-11,,,,,,,,21.49247399
2004-05-12,,,24.76809305,,,,,21.69427617
2004-05-13,,,24.71876342,,,,,21.5580563
2004-05-14,,,24.72493232,,,,,21.83049604
2004-05-17,,,24.62319632,,,,,21.71950207
2004-05-18,,,24.92532451,,,,,21.53787557
2004-05-19,,,24.86366016,,,,,21.49247399
2004-05-20,,,25.07022124,,,,,21.5580563
2004-05-21,,,25.1164618,,,,,21.49247399
2004-05-24,,,25.14112507,,,,,21.59337256
2004-05-25,,,25.415504,,,,,22.10798602
2004-05-26,,,25.56964946,,,,,21.9717611
2004-05-27,,,25.46791346,,,,,21.88094785
2004-05-28,,,25.62822474,,,,,21.82040568
2004-06-01,,,25.60047547,,,,,22.0474388
2004-06-02,,,25.8775265,,,,,22.08780025
2004-06-03,,,25.84639751,,,,,21.9717611
2004-06-04,,,26.02383585,,,,,21.88094785
2004-06-07,,,26.3444613,,,,,22.19879422
2004-06-08,,,26.19503905,,,,,22.14329723
2004-06-09,,,26.00826824,,,,,21.92130929
2004-06-10,,,26.21372267,,,,,22.18870386
2004-06-14,,,25.69697838,,,,,22.12312156
2004-06-15,,,26.21994535,,,,,22.23915566
2004-06-16,,,26.12655528,,,,,22.5670924
2004-06-17,,,26.04562303,,,,,22.58727312
2004-06-18,,,26.3071034,,,,,22.69322191
2004-06-21,,,26.44096116,,,,,22.5670924
2004-06-22,,,26.31021941,,,,,22.65285542
2004-06-23,,,26.38804188,,,,,22.93539562
2004-06-24,,,26.59660609,,,,,22.83953214
2004-06-25,,,26.14834868,,,,,22.32492373
2004-06-28,,,26.37247739,,,,,22.39051108
2004-06-29,,,26.32578702,,,,,22.48637455
2004-06-30,,,26.3413484,,,,,22.40564662
2004-07-01,,,26.14212288,,,,,22.49645987
2004-07-02,,,26.21994535,,,,,22.56204722
2004-07-06,,,26.04251013,,,,,22.75376912
2004-07-07,,,26.21994535,,,,,22.88998395
2004-07-08,,,26.02694563,,,,,22.86476309
2004-07-09,,,26.12033259,,,,,22.93034539
2004-07-12,,,26.41294818,,,,,22.92530021
2004-07-13,,,26.50010623,,,,,22.80926611
2004-07-14,,,26.24173564,,,,,22.93539562
2004-07-15,,,26.10165832,,,,,22.86476309
2004-07-16,,,26.29465492,,,,,23.12206225
2004-07-19,,,26.5779287,,,,,23.15737347
2004-07-20,,,26.5405708,,,,,23.15737347
2004-07-21,,,26.12033259,,,,,22.78908034
2004-07-22,,,26.41917086,,,,,22.90007431
2004-07-23,,,26.41605797,,,,,22.86476309
2004-07-26,,,26.54368681,,,,,22.86980323
2004-07-27,,,26.45963855,,,,,22.91016467
2004-07-28,,,26.43784514,,,,,23.11197189
2004-07-29,,,26.45029985,,,,,23.22296586
2004-07-30,,,26.46274833,,,,,23.35918574
2004-08-02,,,26.66820276,,,,,23.33395983
2004-08-03,,,26.71178334,,,,,23.65685139
2004-08-04,,,26.49077065,,,,,23.3289197
2004-08-05,,,26.11721658,,,,,23.12206225
2004-08-06,,,26.12033259,,,,,22.76385444
2004-08-09,,,26.12655528,,,,,22.98584238
2004-08-10,,,26.45963855,,,,,22.84961746
2004-08-11,,,26.62462218,,,,,22.9054523
2004-08-12,,,26.55613841,,,,,22.61615233
2004-08-13,,,26.44719007,,,,,22.7988681
2004-08-16,,,26.80206051,,,,,22.88515055
2004-08-17,,,27.04486349,,,,,22.51464357
2004-08-18,,,27.22229872,,,,,22.74303828
2004-08-19,,,27.28766959,,,,,22.88515055
2004-08-20,,,27.54915308,,,,,22.96635756
2004-08-23,,,27.4868951,,,,,22.83440125
2004-08-24,,,27.60829815,,,,,22.76334511
2004-08-25,,,27.60518214,,,,,22.93590493
2004-08-26,,,27.45576612,,,,,22.96635756
2004-08-27,,,27.70790779,,,,,23.06279089
2004-08-30,,,27.74838482,,,,,22.9054523
2004-08-31,,,28.00363628,,,,,23.39777488
2004-09-01,,,27.4502234,,,,,23.5703347
2004-09-02,,,27.57601022,,,,,23.84440836
2004-09-03,,,27.42507484,,,,,23.88501186
2004-09-07,,,27.84012986,,,,,23.93068573
2004-09-08,,,27.73951046,,,,,23.89009238
2004-09-09,,,27.90301698,,,,,24.09818027
2004-09-10,,,28.04766366,,,,,24.04235045
2004-09-13,,,27.97219282,,,,,24.10833114
2004-09-14,,,27.89044585,,,,,24.09310483
